name,typ,node,maxcap,deratef_2016,deratef_1976,deratef_1977,deratef_1978,deratef_1979,deratef_1980,deratef_1981,deratef_1982,deratef_1983,deratef_1984,deratef_1985,deratef_1986,deratef_1987,deratef_1988,deratef_1989,deratef_1990,deratef_1991,deratef_1992,deratef_1993,deratef_1994,deratef_1995,deratef_1996,deratef_1997,deratef_1998,deratef_1999,deratef_2000,deratef_2001,deratef_2002,deratef_2003,deratef_2004,deratef_2005
Bangmunnak,biomass_st,BangMunNak,22,1,1,1,1,0.49,1,1,0.69,1,1,1,0.78,0.93,1,0.92,1,0.65,0.75,0.47,1,1,1,0.77,0.73,1,0.97,1,1,0.75,1,1
Mitrbiopower,biomass_st,MitrBiopower,41,0.98,0.8,0.44,1,0.89,1,0.9,0.6,0.98,0.98,0.86,0.66,1,1,0.96,1,0.96,0.62,0.32,1,1,1,0.67,0.79,1,1,0.97,1,0.76,0.88,0.73
Panomsarakhammill,biomass_st,304IPNPPA9,57.8,1,1,0.59,1,0.43,1,1,1,1,0.83,1,1,0.87,1,0.96,1,0.72,0.6,0.66,0.99,1,0.9,0.53,0.65,1,1,0.52,0.77,1,0.57,0.58
KrungThaiMill1,biomass_st,Kanchanaburi,22,0.88,1,0.74,1,0.72,0.86,1,1,0.88,0.88,1,0.99,1,1,0.91,0.95,0.95,0.77,0.79,1,1,1,1,0.87,1,1,0.83,1,0.82,0.77,0.99
BuriramSugar2,biomass_st,BuriRam,48.7,1,1,0.7,1,0.74,1,0.72,0.8,1,0.76,1,0.67,0.96,1,0.78,1,0.91,0.65,0.59,0.76,1,1,0.7,0.61,1,1,0.61,1,0.56,0.76,1
Ponthong1,biomass_st,Kalasin,19.8,0.63,0.83,0.5,1,0.7,1,0.92,1,0.63,0.95,0.8,1,0.99,1,1,1,0.86,0.72,0.41,1,0.92,1,0.79,0.39,1,1,1,1,0.76,1,1
KalasinMill1,biomass_st,Kalasin,41,0.63,0.83,0.5,1,0.7,1,0.92,1,0.63,0.95,0.8,1,0.99,1,1,1,0.86,0.72,0.41,1,0.92,1,0.79,0.39,1,1,1,1,0.76,1,1
RoiEtMill1,biomass_st,RoiEt,35.5,0.98,1,0.72,1,1,1,0.89,0.94,0.98,1,1,0.76,0.83,0.98,0.67,1,1,0.85,0.39,0.61,0.7,0.91,0.77,0.57,1,1,1,1,0.79,1,1
MukdahanSaharuang2,biomass_st,Mukdahan,12,0.65,0.85,0.41,1,0.92,1,1,1,0.65,1,0.95,1,0.85,0.88,1,1,1,0.91,0.55,1,0.66,1,0.88,0.3,0.93,1,1,1,0.65,1,1
MitrBiopowerChaiyaphum2,biomass_st,Phon,48,0.62,1,0.59,1,0.56,1,0.68,0.81,0.62,0.75,1,0.43,1,1,0.83,1,0.91,0.53,0.41,1,1,1,0.56,0.68,1,1,0.73,0.91,0.7,0.53,0.67
MitrBiopowerChaiyaphum3,biomass_st,Phon,40,0.62,1,0.59,1,0.56,1,0.68,0.81,0.62,0.75,1,0.43,1,1,0.83,1,0.91,0.53,0.41,1,1,1,0.56,0.68,1,1,0.73,0.91,0.7,0.53,0.67
Lamphun1,biomass_st,Lamphun2,9.6,0.68,0.53,1,1,0.38,1,1,0.53,0.68,0.38,0.99,0.71,0.95,1,0.93,0.86,0.54,0.69,0.31,1,0.82,1,0.46,0.43,1,0.91,1,1,0.51,0.87,1
MweMaewongEnergy1,biomass_st,NakhonSawan,28,1,1,0.25,1,0.35,1,1,0.6,1,0.52,1,0.9,0.79,1,0.66,0.81,0.31,0.78,0.36,1,1,1,0.46,0.71,1,1,0.8,1,0.57,0.62,0.66
ThaLuangSugarFactory4,biomass_st,LopBuri1,17,1,1,0.82,1,0.4,0.92,0.98,0.96,1,0.83,1,0.94,1,1,0.94,1,0.48,0.68,0.52,0.94,1,1,0.52,0.99,1,1,0.59,0.8,0.88,0.54,0.96
MungcharoenBiomass1,biomass_st,Surin,46.8,1,1,0.49,1,0.72,1,0.9,0.88,1,0.64,1,0.99,0.72,1,0.78,1,1,0.47,0.47,0.82,0.88,1,1,0.57,1,1,0.66,1,0.84,0.94,0.96
KumphawapiSugarMill2,biomass_st,UdonThani1,52,0.69,0.83,0.33,1,0.48,1,1,1,0.69,1,0.71,1,0.83,0.89,0.88,1,0.56,0.86,0.49,1,1,1,0.96,0.46,1,1,1,1,0.81,0.96,0.94
SriChiangMai1,biomass_st,NongKhai,9.9,0.63,0.78,0.29,1,0.41,1,1,1,0.63,1,0.63,1,0.81,0.92,0.82,1,0.5,0.86,0.46,1,1,1,0.95,0.42,1,1,1,1,0.81,0.94,0.96
Sumrong1,biomass_st,UbonRatchathani1,16,0.84,0.8,0.52,1,1,1,0.64,1,0.84,1,1,1,1,0.65,0.89,1,1,0.98,0.32,1,0.44,0.93,0.98,0.48,1,1,0.92,0.98,0.7,0.68,0.73
YalaGreen1,biomass_st,Yala,23,0.99,1,0.74,0.68,0.91,0.82,1,0.79,0.99,0.87,1,0.99,0.99,1,0.64,0.58,0.77,0.67,1,1,1,1,1,1,1,1,0.99,0.65,0.74,0.44,1
KamphaengphetMill2,biomass_st,Kamphaengphet,46.4,0.75,0.77,0.63,1,0.77,1,0.64,1,0.75,0.89,0.72,0.83,1,1,1,1,1,0.6,0.34,1,1,1,0.61,0.58,0.92,1,1,1,0.89,0.86,0.71
