Year,Month,Day,Hour,HouayHo,NamNgum2,NamNgum1,NamLeuk,NamMang3,NamTheun2,TheunHinboun,Xeset1,Xeset2
1979,1,1,0,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,1,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,2,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,3,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,4,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,5,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,6,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,7,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,8,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,9,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,10,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,11,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,12,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,13,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,14,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,15,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,16,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,17,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,18,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,19,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,20,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,21,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,22,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,1,23,6.88,436.68,28.23,54.61,15.51,928.4,346.62,20.92,3.29
1979,1,2,0,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,1,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,2,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,3,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,4,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,5,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,6,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
1979,1,2,7,6.83,434.83,28.03,54.44,15.48,928.23,458.93,21.05,3.27
