Year,Month,Day,Hour,Sirindhorn,BangLangDam,BhumibolDam,ChulabhornDam,KaengKrachanDam,KiridharnDam,LamTakhongJVDam,PakMunDam,RajjaprabhaDam,SirikitDam,SrinagarindDam,ThungNaDam,UbolratanaDam,VajiralongkornDam
1996,1,1,0,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,1,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,2,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,3,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,4,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,5,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,6,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,7,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,8,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,9,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,10,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,11,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,12,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,13,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,14,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,15,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,16,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,17,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,18,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,19,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,20,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,21,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,22,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,1,23,7,44.8,171.4,7.9,12.3,8.6,74,4.5,0,135.8,104.4,1,11.7,85.1
1996,1,2,0,6.9,44.8,171,7.9,12.2,8.5,73.7,4.4,0,135.6,104.3,0.9,11.7,129.1
1996,1,2,1,6.9,44.8,171,7.9,12.2,8.5,73.7,4.4,0,135.6,104.3,0.9,11.7,129.1
1996,1,2,2,6.9,44.8,171,7.9,12.2,8.5,73.7,4.4,0,135.6,104.3,0.9,11.7,129.1
1996,1,2,3,6.9,44.8,171,7.9,12.2,8.5,73.7,4.4,0,135.6,104.3,0.9,11.7,129.1
1996,1,2,4,6.9,44.8,171,7.9,12.2,8.5,73.7,4.4,0,135.6,104.3,0.9,11.7,129.1
