Year,Month,Day,Hour,HouayHo,NamNgum2,NamNgum1,NamLeuk,NamMang3,NamTheun2,TheunHinboun,Xeset1,Xeset2
1983,1,1,0,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,1,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,2,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,3,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,4,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,5,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,6,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,7,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,8,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,9,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,10,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,11,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,12,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,13,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,14,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,15,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,16,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,17,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,18,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,19,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,20,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,21,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,22,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,1,23,6.83,66.27,27.11,57.51,15.86,0,182.59,13.66,3.73
1983,1,2,0,6.65,65.83,26.93,57.36,15.81,0,458.78,13.24,3.64
1983,1,2,1,6.65,65.83,26.93,57.36,15.81,0,458.78,13.24,3.64
