Year,Month,Day,Hour,Sirindhorn,BangLangDam,BhumibolDam,ChulabhornDam,KaengKrachanDam,KiridharnDam,LamTakhongJVDam,PakMunDam,RajjaprabhaDam,SirikitDam,SrinagarindDam,ThungNaDam,UbolratanaDam,VajiralongkornDam
1978,1,1,0,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,1,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,2,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,3,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,4,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,5,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,6,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,7,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,8,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,9,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,10,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,11,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,12,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,13,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,14,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,15,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,16,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,17,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,18,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,19,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,20,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,21,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,22,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,1,23,7.5,0,166.8,7.9,11.7,8.7,91.3,6.8,76.8,137.7,101.5,2.5,11.7,0
1978,1,2,0,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,1,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,2,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,3,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,4,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,5,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,6,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,7,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,8,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,9,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,10,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
1978,1,2,11,6.9,0,166.4,7.9,11.7,8.7,90.2,6.7,76.8,137.6,101.4,2.5,11.7,0
