Year,Month,Day,Hour,HouayHo,NamNgum2,NamNgum1,NamLeuk,NamMang3,NamTheun2,TheunHinboun,Xeset1,Xeset2
1992,1,1,0,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,1,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,2,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,3,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,4,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,5,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,6,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,7,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,8,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,9,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,10,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,11,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,12,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,13,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,14,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,15,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,16,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,17,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,18,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,19,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,20,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,21,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,22,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,1,23,8.04,69.05,26.5,53.25,15.18,924.82,458.61,27.81,15.66
1992,1,2,0,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,1,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,2,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,3,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,4,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,5,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,6,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,7,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,8,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,9,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,10,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,11,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,12,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,13,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,14,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,15,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,16,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,17,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,18,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,19,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,20,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,21,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,22,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,2,23,4.56,68.59,26.34,53.07,15.16,924.63,458.49,14.86,15.27
1992,1,3,0,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,1,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,2,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,3,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,4,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,5,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,6,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,7,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,8,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,9,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,10,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,11,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,12,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,13,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,14,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,15,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,16,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,17,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,18,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,19,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,20,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,21,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,22,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,3,23,4.98,68.15,26.18,52.88,15.14,924.44,458.37,11.16,14.81
1992,1,4,0,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,1,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,2,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,3,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,4,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,5,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,6,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,7,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,8,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,9,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,10,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,11,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,12,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,13,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,14,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,15,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,16,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,17,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,18,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,19,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,20,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,21,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,22,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,4,23,8.83,67.73,26.03,52.69,15.13,924.25,458.25,11.38,14.61
1992,1,5,0,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,1,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,2,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,3,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,4,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,5,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,6,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,7,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,8,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,9,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,10,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,11,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,12,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,13,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,14,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,15,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,16,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,17,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,18,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,19,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,20,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,21,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,22,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,5,23,11.36,67.31,25.87,52.5,15.11,924.06,458.12,13.73,15.02
1992,1,6,0,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,1,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,2,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,3,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,4,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,5,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,6,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,7,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,8,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,9,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,10,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,11,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,12,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,13,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,14,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,15,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,16,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,17,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,18,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,19,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,20,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,21,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,22,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,6,23,12.13,66.91,25.72,52.31,15.1,923.87,458,17.51,15.48
1992,1,7,0,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,1,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,2,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,3,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,4,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,5,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,6,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,7,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,8,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,9,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,10,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,11,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,12,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,13,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,14,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,15,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,16,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,17,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,18,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,19,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,20,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,21,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,22,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,7,23,18.8,66.53,25.57,52.12,15.17,923.67,457.88,37.45,15.56
1992,1,8,0,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,1,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,2,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,3,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,4,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,5,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,6,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,7,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,8,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,9,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,10,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,11,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,12,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,13,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,14,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,15,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,16,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,17,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,18,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,19,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,20,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,21,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,22,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,8,23,15.92,66.16,25.43,51.93,15.76,923.48,457.76,37.88,16.82
1992,1,9,0,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,1,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,2,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,3,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,4,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,5,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,6,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,7,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,8,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,9,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,10,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,11,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,12,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,13,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,14,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,15,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,16,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,17,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,18,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,19,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,20,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,21,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,22,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,9,23,6.31,65.93,25.46,51.76,16.3,923.29,457.65,37.88,16.51
1992,1,10,0,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,1,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,2,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,3,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,4,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,5,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,6,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,7,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,8,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,9,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,10,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,11,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,12,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,13,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,14,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,15,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,16,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,17,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,18,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,19,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,20,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
1992,1,10,21,5.54,67.68,26.65,51.59,15.96,923.1,457.54,37.75,13.16
