Year,Month,Day,Hour,Sirindhorn,BangLangDam,BhumibolDam,ChulabhornDam,KaengKrachanDam,KiridharnDam,LamTakhongJVDam,PakMunDam,RajjaprabhaDam,SirikitDam,SrinagarindDam,ThungNaDam,UbolratanaDam,VajiralongkornDam
1981,1,1,0,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,1,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,2,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,3,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,4,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,5,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,6,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,7,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,8,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,9,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,10,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,11,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,12,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,13,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,14,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,15,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,16,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,17,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,18,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,19,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,20,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,21,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,22,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,1,23,6.8,0,157.8,7.9,11,8.4,72.5,4.6,0,133.8,100.3,1.2,11.7,0
1981,1,2,0,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,1,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,2,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,3,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,4,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,5,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,6,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,7,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,8,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,9,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,10,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
1981,1,2,11,6.7,0,157.4,7.9,11,8.4,72.2,4.5,0,133.6,100.3,1.1,11.7,0
