Year,Month,Day,Hour,HouayHo,NamNgum2,NamNgum1,NamLeuk,NamMang3,NamTheun2,TheunHinboun,Xeset1,Xeset2
2001,1,1,0,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,1,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,2,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,3,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,4,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,5,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,6,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,7,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,8,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,9,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,10,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,11,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,12,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,13,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,14,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,15,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,16,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,17,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,18,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,19,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,20,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,21,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,22,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,1,23,4.4,70.9,26.8,55,15.4,923,0,8.5,2.8
2001,1,2,0,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,1,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,2,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,3,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,4,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,5,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,6,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,7,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,8,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,9,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,10,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,11,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,12,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
2001,1,2,13,4.3,70.3,26.6,54.8,15.4,922.8,91.2,8.2,2.7
