Year,Month,Day,Hour,Sirindhorn,BangLangDam,BhumibolDam,ChulabhornDam,KaengKrachanDam,KiridharnDam,LamTakhongJVDam,PakMunDam,RajjaprabhaDam,SirikitDam,SrinagarindDam,ThungNaDam,UbolratanaDam,VajiralongkornDam
2000,1,1,0,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,1,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,2,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,3,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,4,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,5,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,6,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,7,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,8,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,9,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,10,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,11,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,12,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,13,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,14,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,15,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,16,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,17,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,18,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,19,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,20,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,21,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,22,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,1,23,6.9,44.4,191,7.9,14.1,8.7,79.5,7.1,0,137.1,112.2,1.3,11.7,133.4
2000,1,2,0,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,1,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,2,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,3,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,4,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,5,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,6,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,7,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,8,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,9,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,10,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,11,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,12,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,13,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,14,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,15,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,16,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,17,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,18,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,19,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,20,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
2000,1,2,21,6.8,44.3,190.6,7.9,14,8.7,78.9,6.9,0,137,112.1,1.3,11.7,133.2
