Year,Month,Day,Hour,Sirindhorn,BangLangDam,BhumibolDam,ChulabhornDam,KaengKrachanDam,KiridharnDam,LamTakhongJVDam,PakMunDam,RajjaprabhaDam,SirikitDam,SrinagarindDam,ThungNaDam,UbolratanaDam,VajiralongkornDam
1998,1,1,0,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,1,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,2,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,3,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,4,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,5,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,6,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,7,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,8,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,9,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,10,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,11,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,12,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,13,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,14,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,15,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,16,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,17,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,18,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,19,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,20,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,21,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,22,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,1,23,6.5,0,179.1,7.9,11.2,8.3,76.8,4.7,0,136.1,102.9,1.4,11.7,0
1998,1,2,0,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,1,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,2,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,3,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,4,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,5,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,6,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,7,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,8,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,9,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,10,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,11,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,12,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,13,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,14,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,15,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,16,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,17,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,18,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,19,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,20,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,21,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,22,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,2,23,6.4,0,178.7,7.9,11.2,8.2,76.4,4.6,0,136,102.8,1.4,11.7,0
1998,1,3,0,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,1,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,2,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,3,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,4,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,5,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,6,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,7,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,8,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,9,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,10,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,11,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,12,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
1998,1,3,13,6.3,0,178.3,7.9,11.1,8.2,76,4.5,0,135.8,102.7,1.3,11.7,0
